Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Successful_registration,Firefox 66.0,,,2019-07-11 19:47:37,2019-07-11 19:48:31,53.983s,INCOMPLETE
,,,,,,,
Test Cases/SET_UP_BROWSER/launch_browser,Firefox 66.0,,,2019-07-11 19:47:38,2019-07-11 19:48:08,30.441s,PASSED
openBrowser(BASE_URL),Firefox 66.0,,,2019-07-11 19:47:39,2019-07-11 19:48:07,28.961s,PASSED
maximizeWindow(),Firefox 66.0,,,2019-07-11 19:48:08,2019-07-11 19:48:08,0.792s,PASSED
,,,,,,,
Test Cases/LOG_IN/access_log_in,Firefox 66.0,,,2019-07-11 19:48:08,2019-07-11 19:48:13,4.932s,PASSED
"click(findTestObject(""HOME_PAGE/Header/button_login""))",Firefox 66.0,,,2019-07-11 19:48:10,2019-07-11 19:48:12,2.015s,PASSED
"waitForElementVisible(findTestObject(""LOG_IN/iframe_log-in""), 3)",Firefox 66.0,,,2019-07-11 19:48:12,2019-07-11 19:48:13,0.989s,PASSED
,,,,,,,
Test Cases/SIGN_UP/access_sign_up,Firefox 66.0,,,2019-07-11 19:48:13,2019-07-11 19:48:16,2.476s,PASSED
"click(findTestObject(""LOG_IN/button_sign-up""))",Firefox 66.0,,,2019-07-11 19:48:14,2019-07-11 19:48:15,0.968s,PASSED
"verifyElementVisible(findTestObject(""GLOBAL/title_h1"", [""txtTitle"":""Beneficios de Registrarse""]))",Firefox 66.0,,,2019-07-11 19:48:15,2019-07-11 19:48:16,0.403s,PASSED
,,,,,,,
Test Cases/SIGN_UP/fill_out_correctly_form,Firefox 66.0,,,2019-07-11 19:48:16,2019-07-11 19:48:26,9.845s,PASSED
random = new java.util.Random(),Firefox 66.0,,,2019-07-11 19:48:17,2019-07-11 19:48:17,0.069s,PASSED
rand = random.nextInt(100),Firefox 66.0,,,2019-07-11 19:48:17,2019-07-11 19:48:17,0.002s,PASSED
"verifyElementClickable(findTestObject(""SIGN_UP/button_accept""))",Firefox 66.0,,,2019-07-11 19:48:17,2019-07-11 19:48:17,0.322s,PASSED
"setText(findTestObject(""SIGN_UP/input_email""), ""iart"" + rand + ""@yopmail.com"")",Firefox 66.0,,,2019-07-11 19:48:17,2019-07-11 19:48:18,0.809s,PASSED
"setEncryptedText(findTestObject(""SIGN_UP/input_password""), ""cNkTP62zox2sjTkN4QiJDw=="")",Firefox 66.0,,,2019-07-11 19:48:18,2019-07-11 19:48:19,0.519s,PASSED
"setText(findTestObject(""SIGN_UP/input_name""), ""IAN"")",Firefox 66.0,,,2019-07-11 19:48:19,2019-07-11 19:48:19,0.398s,PASSED
"setText(findTestObject(""SIGN_UP/input_last-name""), ""ROMERO"")",Firefox 66.0,,,2019-07-11 19:48:19,2019-07-11 19:48:19,0.219s,PASSED
"setText(findTestObject(""SIGN_UP/input_second-last-name""), ""TORRES"")",Firefox 66.0,,,2019-07-11 19:48:19,2019-07-11 19:48:19,0.194s,PASSED
"selectOptionByLabel(findTestObject(""SIGN_UP/select_day""), ""27"", false)",Firefox 66.0,,,2019-07-11 19:48:19,2019-07-11 19:48:20,0.425s,PASSED
"selectOptionByValue(findTestObject(""SIGN_UP/select_month""), ""6"", false)",Firefox 66.0,,,2019-07-11 19:48:20,2019-07-11 19:48:20,0.484s,PASSED
"selectOptionByLabel(findTestObject(""SIGN_UP/select_year""), ""1998"", false)",Firefox 66.0,,,2019-07-11 19:48:20,2019-07-11 19:48:21,0.582s,PASSED
"click(findTestObject(""SIGN_UP/radio_male""))",Firefox 66.0,,,2019-07-11 19:48:21,2019-07-11 19:48:21,0.630s,PASSED
"click(findTestObject(""SIGN_UP/button_accept""))",Firefox 66.0,,,2019-07-11 19:48:21,2019-07-11 19:48:25,3.828s,PASSED
"verifyElementText(findTestObject(""LOG_IN/select_profile""), ""IAN"")",Firefox 66.0,,,2019-07-11 19:48:25,2019-07-11 19:48:26,0.368s,PASSED
,,,,,,,
Test Cases/SET_UP_BROWSER/close_browser,Firefox 66.0,,,2019-07-11 19:48:26,2019-07-11 19:48:31,5.393s,PASSED
closeBrowser(),Firefox 66.0,,,2019-07-11 19:48:26,2019-07-11 19:48:31,4.699s,PASSED
