Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Successful_registration,Firefox 66.0,,,2019-07-11 20:46:11,2019-07-11 20:46:44,32.639s,INCOMPLETE
,,,,,,,
Test Cases/SET_UP_BROWSER/launch_browser,Firefox 66.0,,,2019-07-11 20:46:13,2019-07-11 20:46:30,17.510s,PASSED
openBrowser(BASE_URL),Firefox 66.0,,,2019-07-11 20:46:14,2019-07-11 20:46:29,15.389s,PASSED
maximizeWindow(),Firefox 66.0,,,2019-07-11 20:46:29,2019-07-11 20:46:30,0.763s,PASSED
,,,,,,,
Test Cases/LOG_IN/access_log_in,Firefox 66.0,,,2019-07-11 20:46:30,2019-07-11 20:46:34,3.498s,PASSED
"click(findTestObject(""HOME_PAGE/Header/button_login""))",Firefox 66.0,,,2019-07-11 20:46:32,2019-07-11 20:46:33,1.309s,PASSED
"waitForElementVisible(findTestObject(""LOG_IN/iframe_log-in""), 3)",Firefox 66.0,,,2019-07-11 20:46:33,2019-07-11 20:46:34,0.297s,PASSED
,,,,,,,
Test Cases/SIGN_UP/access_sign_up,Firefox 66.0,,,2019-07-11 20:46:34,2019-07-11 20:46:36,2.551s,PASSED
"click(findTestObject(""LOG_IN/button_sign-up""))",Firefox 66.0,,,2019-07-11 20:46:34,2019-07-11 20:46:35,0.987s,PASSED
"verifyElementVisible(findTestObject(""GLOBAL/title_h1"", [""txtTitle"":""Beneficios de Registrarse""]))",Firefox 66.0,,,2019-07-11 20:46:35,2019-07-11 20:46:36,0.835s,PASSED
,,,,,,,
Test Cases/SIGN_UP/registered_user,Firefox 66.0,,,2019-07-11 20:46:36,2019-07-11 20:46:38,2.032s,FAILED
"verifyElementClickable(findTestObject(""SIGN_UP/button_accept""))",Firefox 66.0,,,2019-07-11 20:46:37,2019-07-11 20:46:37,0.073s,PASSED
"click(findTestObject(""SIGN_UP/button_accept""))",Firefox 66.0,,,2019-07-11 20:46:37,2019-07-11 20:46:38,0.473s,PASSED
"for (def e : getWebDriver().findElements(By.xpath(""//label[@class=""error""]"")))",Firefox 66.0,,,2019-07-11 20:46:38,2019-07-11 20:46:38,0.265s,PASSED
"for ([x = 0, x <= requiredFields.size() - 1, (x++)])",Firefox 66.0,,,2019-07-11 20:46:38,2019-07-11 20:46:38,0.086s,PASSED
"verifyEqual(flagFail, false)",Firefox 66.0,,,2019-07-11 20:46:38,2019-07-11 20:46:38,0.157s,FAILED
,,,,,,,
Test Cases/SET_UP_BROWSER/close_browser,Firefox 66.0,,,2019-07-11 20:46:38,2019-07-11 20:46:44,5.711s,PASSED
closeBrowser(),Firefox 66.0,,,2019-07-11 20:46:39,2019-07-11 20:46:44,5.397s,PASSED
