Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
SendOpinionProduct,Firefox 66.0,,,2019-07-13 01:06:29,2019-07-13 01:07:03,33.719s,INCOMPLETE
,,,,,,,
Test Cases/SET_UP_BROWSER/launch_browser,Firefox 66.0,,,2019-07-13 01:06:29,2019-07-13 01:06:46,16.006s,PASSED
openBrowser(BASE_URL),Firefox 66.0,,,2019-07-13 01:06:30,2019-07-13 01:06:45,15.374s,PASSED
maximizeWindow(),Firefox 66.0,,,2019-07-13 01:06:45,2019-07-13 01:06:45,0.041s,PASSED
,,,,,,,
Test Cases/HOME_PAGE/search_product,Firefox 66.0,,,2019-07-13 01:06:46,2019-07-13 01:06:49,3.879s,PASSED
"waitForElementClickable(findTestObject(""HOME_PAGE/Header/input_search""), 3)",Firefox 66.0,,,2019-07-13 01:06:46,2019-07-13 01:06:46,0.191s,PASSED
"setText(findTestObject(""HOME_PAGE/Header/input_search""), nameProduct)",Firefox 66.0,,,2019-07-13 01:06:46,2019-07-13 01:06:47,0.344s,PASSED
"click(findTestObject(""HOME_PAGE/Header/button_search""))",Firefox 66.0,,,2019-07-13 01:06:47,2019-07-13 01:06:49,2.606s,PASSED
,,,,,,,
Test Cases/PRODUCTS/CatalogProducts/GridProducts/select_product_catalog,Firefox 66.0,,,2019-07-13 01:06:49,2019-07-13 01:06:57,7.644s,PASSED
"waitForElementVisible(findTestObject(""PRODUCTS/CatalogProducts/span_total-products""), 3)",Firefox 66.0,,,2019-07-13 01:06:50,2019-07-13 01:06:50,0.145s,PASSED
"click(findTestObject(""PRODUCTS/CatalogProducts/li_product"", [""nameProduct"":nameProduct]))",Firefox 66.0,,,2019-07-13 01:06:50,2019-07-13 01:06:53,3.387s,PASSED
"waitForElementNotVisible(findTestObject(""PRODUCTS/CatalogProducts/span_total-products""), 3)",Firefox 66.0,,,2019-07-13 01:06:53,2019-07-13 01:06:57,3.610s,PASSED
,,,,,,,
Test Cases/PRODUCTS/DetailProduct/ProductOpinion/access_product_opinion,Firefox 66.0,,,2019-07-13 01:06:57,2019-07-13 01:06:58,0.669s,FAILED
"waitForElementClickable(findTestObject(""PRODUCTS/DetailProduct/ProductOpinion/button_opinion""), 3)",Firefox 66.0,,,2019-07-13 01:06:57,2019-07-13 01:06:58,0.357s,FAILED
,,,,,,,
Test Cases/PRODUCTS/DetailProduct/ProductOpinion/send_opinion,Firefox 66.0,,,2019-07-13 01:06:58,2019-07-13 01:06:58,0.593s,FAILED
"waitForElementVisible(findTestObject(""PRODUCTS/DetailProduct/ProductOpinion/button_send-opinion""), 3)",Firefox 66.0,,,2019-07-13 01:06:58,2019-07-13 01:06:58,0.166s,FAILED
,,,,,,,
Test Cases/SET_UP_BROWSER/close_browser,Firefox 66.0,,,2019-07-13 01:06:58,2019-07-13 01:07:03,4.350s,PASSED
closeBrowser(),Firefox 66.0,,,2019-07-13 01:06:59,2019-07-13 01:07:03,4.020s,PASSED
