Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
SendOpinionProduct,Firefox 66.0,,,2019-07-13 02:00:13,2019-07-13 02:00:51,38.597s,INCOMPLETE
,,,,,,,
Test Cases/SET_UP_BROWSER/launch_browser,Firefox 66.0,,,2019-07-13 02:00:13,2019-07-13 02:00:27,13.853s,PASSED
openBrowser(BASE_URL),Firefox 66.0,,,2019-07-13 02:00:14,2019-07-13 02:00:27,13.271s,PASSED
maximizeWindow(),Firefox 66.0,,,2019-07-13 02:00:27,2019-07-13 02:00:27,0.043s,PASSED
,,,,,,,
Test Cases/HOME_PAGE/search_product,Firefox 66.0,,,2019-07-13 02:00:27,2019-07-13 02:00:31,4.375s,PASSED
"waitForElementClickable(findTestObject(""HOME_PAGE/Header/input_search""), 3)",Firefox 66.0,,,2019-07-13 02:00:28,2019-07-13 02:00:28,0.305s,PASSED
"setText(findTestObject(""HOME_PAGE/Header/input_search""), nameProduct)",Firefox 66.0,,,2019-07-13 02:00:28,2019-07-13 02:00:29,0.719s,PASSED
"click(findTestObject(""HOME_PAGE/Header/button_search""))",Firefox 66.0,,,2019-07-13 02:00:29,2019-07-13 02:00:31,2.658s,PASSED
,,,,,,,
Test Cases/PRODUCTS/CatalogProducts/GridProducts/select_product_catalog,Firefox 66.0,,,2019-07-13 02:00:31,2019-07-13 02:00:40,8.992s,PASSED
"waitForElementVisible(findTestObject(""PRODUCTS/CatalogProducts/span_total-products""), 3)",Firefox 66.0,,,2019-07-13 02:00:32,2019-07-13 02:00:32,0.085s,PASSED
"click(findTestObject(""PRODUCTS/CatalogProducts/li_product"", [""nameProduct"":nameProduct]))",Firefox 66.0,,,2019-07-13 02:00:32,2019-07-13 02:00:37,5.299s,PASSED
"waitForElementNotVisible(findTestObject(""PRODUCTS/CatalogProducts/span_total-products""), 3)",Firefox 66.0,,,2019-07-13 02:00:37,2019-07-13 02:00:40,3.141s,PASSED
,,,,,,,
Test Cases/PRODUCTS/DetailProduct/ProductOpinion/access_product_opinion,Firefox 66.0,,,2019-07-13 02:00:40,2019-07-13 02:00:42,1.437s,PASSED
"waitForElementVisible(findTestObject(""PRODUCTS/DetailProduct/ProductOpinion/button_opinion""), 3)",Firefox 66.0,,,2019-07-13 02:00:41,2019-07-13 02:00:41,0.105s,PASSED
"click(findTestObject(""PRODUCTS/DetailProduct/ProductOpinion/button_opinion""))",Firefox 66.0,,,2019-07-13 02:00:41,2019-07-13 02:00:41,0.393s,PASSED
"waitForElementVisible(findTestObject(""PRODUCTS/DetailProduct/ProductOpinion/button_send-opinion""), 3)",Firefox 66.0,,,2019-07-13 02:00:41,2019-07-13 02:00:42,0.636s,PASSED
,,,,,,,
Test Cases/PRODUCTS/DetailProduct/ProductOpinion/send_opinion,Firefox 66.0,,,2019-07-13 02:00:42,2019-07-13 02:00:48,6.087s,PASSED
"waitForElementVisible(findTestObject(""PRODUCTS/DetailProduct/ProductOpinion/button_send-opinion""), 3)",Firefox 66.0,,,2019-07-13 02:00:42,2019-07-13 02:00:42,0.071s,PASSED
"clickOffset(findTestObject(""PRODUCTS/DetailProduct/ProductOpinion/icons_raiting""), 0, 10)",Firefox 66.0,,,2019-07-13 02:00:42,2019-07-13 02:00:43,0.281s,PASSED
"setText(findTestObject(""PRODUCTS/DetailProduct/ProductOpinion/input_title-opinion""), ""¡¡Excelente servicio!!"")",Firefox 66.0,,,2019-07-13 02:00:43,2019-07-13 02:00:43,0.222s,PASSED
"setText(findTestObject(""PRODUCTS/DetailProduct/ProductOpinion/input_write-opinion""), ""Cinco estrellas Aut_Test"")",Firefox 66.0,,,2019-07-13 02:00:43,2019-07-13 02:00:43,0.173s,PASSED
"click(findTestObject(""PRODUCTS/DetailProduct/ProductOpinion/button_add-photo""))",Firefox 66.0,,,2019-07-13 02:00:43,2019-07-13 02:00:43,0.370s,PASSED
"waitForElementClickable(findTestObject(""PRODUCTS/DetailProduct/ProductOpinion/input_upload-photo""), 3)",Firefox 66.0,,,2019-07-13 02:00:43,2019-07-13 02:00:43,0.031s,PASSED
"uploadFile(findTestObject(""PRODUCTS/DetailProduct/ProductOpinion/input_upload-photo""), ""C:\Users\QualtopGroup\Katalon Studio\QSSAT_Web_Liverpool\Files\img.png"")",Firefox 66.0,,,2019-07-13 02:00:43,2019-07-13 02:00:43,0.078s,PASSED
"click(findTestObject(""PRODUCTS/DetailProduct/ProductOpinion/button_accept-add-photo""))",Firefox 66.0,,,2019-07-13 02:00:43,2019-07-13 02:00:44,0.440s,PASSED
"waitForElementNotVisible(findTestObject(""PRODUCTS/DetailProduct/ProductOpinion/icon_load-photo""), 10)",Firefox 66.0,,,2019-07-13 02:00:44,2019-07-13 02:00:47,3.284s,PASSED
"click(findTestObject(""PRODUCTS/DetailProduct/ProductOpinion/button_accept-add-photo""))",Firefox 66.0,,,2019-07-13 02:00:47,2019-07-13 02:00:48,0.321s,PASSED
"click(findTestObject(""PRODUCTS/DetailProduct/ProductOpinion/button_send-opinion""))",Firefox 66.0,,,2019-07-13 02:00:48,2019-07-13 02:00:48,0.331s,PASSED
,,,,,,,
Test Cases/SET_UP_BROWSER/close_browser,Firefox 66.0,,,2019-07-13 02:00:48,2019-07-13 02:00:51,3.278s,PASSED
closeBrowser(),Firefox 66.0,,,2019-07-13 02:00:48,2019-07-13 02:00:51,2.879s,PASSED
