Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Successful_registration,Firefox 66.0,,,2019-07-11 20:44:46,2019-07-11 20:45:23,36.541s,INCOMPLETE
,,,,,,,
Test Cases/SET_UP_BROWSER/launch_browser,Firefox 66.0,,,2019-07-11 20:44:47,2019-07-11 20:45:08,20.457s,PASSED
openBrowser(BASE_URL),Firefox 66.0,,,2019-07-11 20:44:49,2019-07-11 20:45:07,18.327s,PASSED
maximizeWindow(),Firefox 66.0,,,2019-07-11 20:45:07,2019-07-11 20:45:08,0.744s,PASSED
,,,,,,,
Test Cases/LOG_IN/access_log_in,Firefox 66.0,,,2019-07-11 20:45:08,2019-07-11 20:45:12,3.878s,PASSED
"click(findTestObject(""HOME_PAGE/Header/button_login""))",Firefox 66.0,,,2019-07-11 20:45:10,2019-07-11 20:45:11,1.599s,PASSED
"waitForElementVisible(findTestObject(""LOG_IN/iframe_log-in""), 3)",Firefox 66.0,,,2019-07-11 20:45:11,2019-07-11 20:45:12,0.621s,PASSED
,,,,,,,
Test Cases/SIGN_UP/access_sign_up,Firefox 66.0,,,2019-07-11 20:45:12,2019-07-11 20:45:15,3.382s,PASSED
"click(findTestObject(""LOG_IN/button_sign-up""))",Firefox 66.0,,,2019-07-11 20:45:13,2019-07-11 20:45:14,1.397s,PASSED
"verifyElementVisible(findTestObject(""GLOBAL/title_h1"", [""txtTitle"":""Beneficios de Registrarse""]))",Firefox 66.0,,,2019-07-11 20:45:14,2019-07-11 20:45:15,1.144s,PASSED
,,,,,,,
Test Cases/SIGN_UP/registered_user,Firefox 66.0,,,2019-07-11 20:45:15,2019-07-11 20:45:18,2.585s,PASSED
"verifyElementClickable(findTestObject(""SIGN_UP/button_accept""))",Firefox 66.0,,,2019-07-11 20:45:17,2019-07-11 20:45:17,0.175s,PASSED
"click(findTestObject(""SIGN_UP/button_accept""))",Firefox 66.0,,,2019-07-11 20:45:17,2019-07-11 20:45:17,0.518s,PASSED
"for (def e : getWebDriver().findElements(By.xpath(""//label[@class=""error""]"")))",Firefox 66.0,,,2019-07-11 20:45:17,2019-07-11 20:45:18,0.447s,PASSED
"for ([x = 0, x <= requiredFields.size() - 1, (x++)])",Firefox 66.0,,,2019-07-11 20:45:18,2019-07-11 20:45:18,0.037s,PASSED
"verifyEqual(flagFail, false)",Firefox 66.0,,,2019-07-11 20:45:18,2019-07-11 20:45:18,0.102s,PASSED
,,,,,,,
Test Cases/SET_UP_BROWSER/close_browser,Firefox 66.0,,,2019-07-11 20:45:18,2019-07-11 20:45:23,4.709s,PASSED
closeBrowser(),Firefox 66.0,,,2019-07-11 20:45:18,2019-07-11 20:45:23,4.178s,PASSED
