Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
AddProcutsToCart(FromCatalog),Firefox 66.0,,,2019-07-12 17:46:03,2019-07-12 17:46:49,45.326s,INCOMPLETE
,,,,,,,
Test Cases/SET_UP_BROWSER/launch_browser,Firefox 66.0,,,2019-07-12 17:46:04,2019-07-12 17:46:32,27.484s,PASSED
openBrowser(BASE_URL),Firefox 66.0,,,2019-07-12 17:46:06,2019-07-12 17:46:31,25.545s,PASSED
maximizeWindow(),Firefox 66.0,,,2019-07-12 17:46:31,2019-07-12 17:46:32,0.409s,PASSED
,,,,,,,
Test Cases/HOME_PAGE/access_section_products,Firefox 66.0,,,2019-07-12 17:46:32,2019-07-12 17:46:41,9.530s,FAILED
"waitForElementVisible(findTestObject(""HOME_PAGE/NavBar/ul-menu"", [""nameMenu"":""Departamentos""]), 3)",Firefox 66.0,,,2019-07-12 17:46:33,2019-07-12 17:46:34,1.120s,PASSED
"mouseOver(findTestObject(""HOME_PAGE/NavBar/ul-menu"", [""nameMenu"":""Departamentos""]))",Firefox 66.0,,,2019-07-12 17:46:34,2019-07-12 17:46:37,2.983s,PASSED
delay(1),Firefox 66.0,,,2019-07-12 17:46:37,2019-07-12 17:46:38,1.086s,PASSED
"mouseOver(findTestObject(""HOME_PAGE/NavBar/li_sub-menu"", [""nameOption"":""Videojuegos""]))",Firefox 66.0,,,2019-07-12 17:46:38,2019-07-12 17:46:39,0.792s,PASSED
delay(1),Firefox 66.0,,,2019-07-12 17:46:39,2019-07-12 17:46:40,1.024s,PASSED
"click(findTestObject(""HOME_PAGE/NavBar/a_section"", [""nameTitleSection"":""Accesorios"", ""nameSection"":""XBOX""]))",Firefox 66.0,,,2019-07-12 17:46:40,2019-07-12 17:46:41,1.393s,FAILED
,,,,,,,
Test Cases/PRODUCTS/CatalogProducts/GridProducts/select_product_catalog,Firefox 66.0,,,2019-07-12 17:46:41,2019-07-12 17:46:44,2.827s,FAILED
"waitForElementVisible(findTestObject(""PRODUCTS/CatalogProducts/span_total-products""), 3)",Firefox 66.0,,,2019-07-12 17:46:43,2019-07-12 17:46:44,1.452s,FAILED
,,,,,,,
Test Cases/PRODUCTS/DetailProduct/GeneralView/add_product_to_cart,Firefox 66.0,,,2019-07-12 17:46:44,2019-07-12 17:46:48,3.766s,FAILED
"waitForElementClickable(findTestObject(""PRODUCTS/DetailProducts/input_qty""), 3)",Firefox 66.0,,,2019-07-12 17:46:45,2019-07-12 17:46:48,2.509s,FAILED
,,,,,,,
Test Cases/SET_UP_BROWSER/close_browser,Firefox 66.0,,,2019-07-12 17:46:48,2019-07-12 17:46:49,0.689s,FAILED
closeBrowser(),Firefox 66.0,,,2019-07-12 17:46:49,2019-07-12 17:46:49,0.092s,FAILED
